id,queue_name,entity_id,entity_table,action,simulation_time,simulation_datetime,priority,queue_length_before,queue_length_after,wait_time
247,FIFOQueue,39,Project,entry,4457.039471396476,2024-01-04 02:17:02.368284,,0,1,
248,FIFOQueue,39,Project,exit,4457.039471396476,2024-01-04 02:17:02.368284,,1,0,0.0
249,FIFOQueue,40,Project,entry,4480.812313566239,2024-01-04 02:40:48.738814,,0,1,
250,FIFOQueue,40,Project,exit,4480.812313566239,2024-01-04 02:40:48.738814,,1,0,0.0
251,FIFOQueue,43,Project,entry,4570.908882329656,2024-01-04 04:10:54.532940,,0,1,
252,FIFOQueue,43,Project,exit,4570.908882329656,2024-01-04 04:10:54.532940,,1,0,0.0
253,FIFOQueue,42,Project,entry,4616.505948558202,2024-01-04 04:56:30.356913,,0,1,
254,FIFOQueue,42,Project,exit,4616.505948558202,2024-01-04 04:56:30.356913,,1,0,0.0
255,FIFOQueue,43,Project,entry,4623.395696651072,2024-01-04 05:03:23.741799,,0,1,
256,FIFOQueue,43,Project,exit,4623.395696651072,2024-01-04 05:03:23.741799,,1,0,0.0
257,FIFOQueue,44,Project,entry,4865.676728442246,2024-01-04 09:05:40.603707,,0,1,
258,FIFOQueue,44,Project,exit,4865.676728442246,2024-01-04 09:05:40.603707,,1,0,0.0
259,FIFOQueue,44,Project,entry,4925.264639147614,2024-01-04 10:05:15.878349,,0,1,
260,FIFOQueue,44,Project,exit,4925.264639147614,2024-01-04 10:05:15.878349,,1,0,0.0
261,FIFOQueue,43,Project,entry,4935.961666393264,2024-01-04 10:15:57.699984,,0,1,
262,FIFOQueue,43,Project,exit,4935.961666393264,2024-01-04 10:15:57.699984,,1,0,0.0
263,FIFOQueue,45,Project,entry,5000.291043702646,2024-01-04 11:20:17.462622,,0,1,
264,FIFOQueue,45,Project,exit,5000.291043702646,2024-01-04 11:20:17.462622,,1,0,0.0
265,FIFOQueue,45,Project,entry,5059.154790400035,2024-01-04 12:19:09.287424,,0,1,
266,FIFOQueue,45,Project,exit,5059.154790400035,2024-01-04 12:19:09.287424,,1,0,0.0
267,FIFOQueue,44,Project,entry,5086.4332169654235,2024-01-04 12:46:25.993018,,0,1,
268,FIFOQueue,44,Project,exit,5086.4332169654235,2024-01-04 12:46:25.993018,,1,0,0.0
269,FIFOQueue,46,Project,entry,5156.419603162556,2024-01-04 13:56:25.176190,,0,1,
270,FIFOQueue,46,Project,exit,5156.419603162556,2024-01-04 13:56:25.176190,,1,0,0.0
271,FIFOQueue,46,Project,entry,5214.116465366462,2024-01-04 14:54:06.987922,,0,1,
272,FIFOQueue,46,Project,exit,5214.116465366462,2024-01-04 14:54:06.987922,,1,0,0.0
273,FIFOQueue,45,Project,entry,5252.62783218819,2024-01-04 15:32:37.669931,,0,1,
274,FIFOQueue,45,Project,exit,5252.62783218819,2024-01-04 15:32:37.669931,,1,0,0.0
